name,expected_rt,mz1,mz2,mz3,mz1_range,mz2_range,mz3_range
*245-TCA,3.76,197.0,199.0,195.0,,,
2-MOA,2.220483333333,80.0,123.0,108.0,,,
2-NAPA,3.822933333333,115.0,116.0,143.0,,,
24-DAA,3.4437,95.0,123.0,138.0,,,
24-DAT,3.077183333333,105.0,94.2,122.0,,,
24-XD,2.19565,120.0,106.0,121.0,,,
245-TMA,2.696633333333,120.1,134.0,135.0,,,
26-XD,2.19565,106.0,120.0,121.0,,,
33-DCBD,7.163466666667,253.0,254.0,252.0,,,
33-DMBD,6.522716666667,213.0,211.0,212.0,,,
33-DMOBD,7.163466666667,201.0,245.0,244.0,,,
4-AAB,5.710033333333,120.0,197.0,92.0,,,
4-ABP,4.58145,141.0,168.0,169.0,,,
4-CA,2.33225,92.0,129.0,127.0,,,
4-CoTD,2.744266666667,106.1,143.1,141.1,,,
44-MyB2CA,7.151566666667,195.0,266.0,231.0,,,
44-MyDoTD,6.410633333333,120.0,211.0,226.0,,,
44-ODA,5.7971,108.0,171.0,200.0,,,
44-TDA,6.73635,215.0,184.0,216.0,,,
5-NOTD,4.001216666667,77.0,106.0,152.0,,,
Aniline,1.574766666667,94.0,92.0,93.0,,,
BD,5.8344,92.0,185.0,184.0,,,
MDA,5.859283333333,106.0,197.0,198.0,,,
o-AAT,6.320966666667,134.0,225.0,106.0,,,
o-TD,1.860366666667,77.0,107.0,106.0,,,
P-CrD,2.601366666667,94.2,137.0,122.0,,,
p-PDA,2.553733333333,80.0,107.0,108.0,,,
